userId,age,gender,EducationalLevel,artExperience,photographyExperience,personality-E,personality-A,personality-N,personality-O,personality-C
A3393ee,30-34,female,junior_college,proficient,proficient,6,9,4,7,10
A622653,18-21,female,university,proficient,competent,7,10,4,9,7
A098db8,30-34,female,senior_high_school,competent,competent,6,6,5,6,7
A697287,30-34,male,university,beginner,beginner,5,9,3,7,10
A27fab0,22-25,female,technical_secondary_school,beginner,competent,7,8,3,10,9
A09eb7d,26-29,female,technical_secondary_school,proficient,proficient,4,9,4,6,8
Ac7f24c,22-25,male,junior_college,beginner,beginner,8,8,5,10,8
A35c90b,26-29,male,senior_high_school,competent,beginner,4,10,4,5,8
Add24e6,26-29,female,technical_secondary_school,competent,competent,4,9,4,5,8
A2e1642,30-34,female,senior_high_school,beginner,beginner,6,10,6,5,8
A235aec,26-29,male,junior_college,proficient,proficient,5,10,4,8,9
A768d0b,26-29,female,junior_college,proficient,proficient,6,7,6,6,6
Ab22571,30-34,female,junior_college,proficient,competent,7,6,5,9,10
A00fc2e,30-34,male,junior_college,proficient,proficient,8,6,6,3,4
Ad82484,18-21,female,university,competent,proficient,7,6,5,7,6
Af180fb,26-29,female,junior_college,proficient,competent,4,8,4,7,7
A580790,26-29,male,senior_high_school,beginner,beginner,8,8,7,7,6
Ac85455,26-29,female,technical_secondary_school,beginner,beginner,6,7,5,8,7
A14433f,30-34,female,senior_high_school,proficient,proficient,5,9,4,8,9
Ad0175a,30-34,male,junior_high_school,beginner,beginner,6,7,4,6,6
A8411cd,22-25,male,junior_high_school,competent,proficient,6,9,4,9,10
Add73f7,26-29,female,university,beginner,beginner,6,8,5,7,7
Abf40de,22-25,male,senior_high_school,beginner,competent,5,10,5,7,8
A5aa4a1,22-25,female,junior_high_school,competent,competent,7,7,3,7,8
A7481e3,22-25,male,junior_college,proficient,proficient,5,8,5,7,10
A8abb72,26-29,female,university,proficient,proficient,6,6,4,7,6
A409131,30-34,female,junior_high_school,competent,competent,5,10,4,7,10
A48ea26,22-25,female,junior_college,proficient,proficient,6,10,3,8,10
A40f4d0,35-40,male,technical_secondary_school,expert,proficient,6,8,5,7,9
A5c7945,26-29,female,junior_college,competent,competent,6,8,4,8,9
A27ceba,35-40,female,technical_secondary_school,proficient,competent,5,8,4,6,8
Af9e062,30-34,female,technical_secondary_school,competent,proficient,7,8,3,7,8
A5c54a8,35-40,female,university,competent,beginner,7,9,3,9,9
A645d40,22-25,male,junior_college,proficient,proficient,7,5,6,6,7
A2dadec,26-29,male,junior_college,competent,beginner,8,10,2,10,10
A425b28,26-29,male,junior_college,beginner,beginner,6,9,3,8,10
A283aac,26-29,male,junior_college,competent,competent,7,8,6,8,7
A2ce68c,26-29,female,junior_college,proficient,competent,4,10,2,6,10
A97611b,30-34,male,junior_college,expert,proficient,6,6,4,8,7
A81f650,26-29,female,senior_high_school,competent,competent,7,8,5,8,7
Acee869,26-29,male,junior_college,proficient,proficient,5,6,3,8,9
A3ac4f1,18-21,female,senior_high_school,competent,beginner,6,8,4,7,7
A61fa7a,26-29,female,junior_college,competent,competent,8,10,5,7,9
A037b7a,26-29,male,junior_college,beginner,proficient,7,8,4,7,9
A81c456,22-25,male,junior_college,expert,proficient,7,4,6,9,8
Ac5d75c,30-34,female,junior_high_school,competent,beginner,6,8,4,4,8
Ae48cd3,26-29,female,junior_college,proficient,proficient,6,7,7,7,7
A244811,26-29,female,senior_high_school,proficient,proficient,4,9,3,6,7
A0bec35,18-21,male,university,proficient,proficient,7,6,4,8,7
A0c9f46,30-34,male,university,competent,proficient,8,7,6,8,8
Acf6176,26-29,male,technical_secondary_school,proficient,expert,7,9,4,5,9
A084463,30-34,male,university,expert,proficient,6,10,2,10,10
A7497fb,26-29,male,junior_high_school,expert,proficient,7,8,5,8,7
Af56129,26-29,male,junior_college,proficient,proficient,7,7,6,8,10
A945d75,22-25,male,senior_high_school,expert,proficient,7,8,3,9,9
A1feb3b,26-29,female,senior_high_school,expert,proficient,6,5,5,7,10
A1fc2a8,26-29,female,senior_high_school,proficient,proficient,4,9,5,6,8
A79dffd,35-40,female,university,expert,proficient,6,5,5,6,8
A482803,35-40,male,junior_college,proficient,proficient,5,8,2,4,8
A3aa665,26-29,female,university,competent,competent,5,10,8,5,7
A744c8e,30-34,male,junior_college,expert,proficient,7,6,5,7,8
Afdf429,35-40,male,technical_secondary_school,proficient,expert,8,8,6,8,9
Ab2824c,35-40,male,senior_high_school,expert,proficient,8,9,6,6,9
A6a5282,30-34,male,junior_college,expert,proficient,6,7,4,6,8
A3f6a35,35-40,male,technical_secondary_school,beginner,beginner,3,8,4,6,7
A364bff,26-29,male,senior_high_school,competent,competent,6,7,5,5,6
A08957e,35-40,female,university,competent,competent,6,8,6,7,8
A88d70a,26-29,male,junior_college,beginner,beginner,6,7,4,6,7
A459173,26-29,female,senior_high_school,competent,proficient,6,10,5,8,7
Acb3e21,30-34,female,junior_college,proficient,proficient,5,9,4,5,10
A61b1b4,18-21,male,junior_college,competent,competent,4,8,2,6,6
Adaa909,30-34,female,junior_high_school,proficient,proficient,6,8,6,6,7
A19895a,18-21,male,university,beginner,beginner,9,10,8,6,4
A2f92df,30-34,male,university,beginner,beginner,7,8,5,8,8
A70ab29,30-34,male,university,competent,competent,7,8,3,8,10
Ae6eb53,30-34,male,senior_high_school,proficient,competent,5,8,5,7,8
A3c6418,30-34,female,university,proficient,proficient,5,9,4,7,9
A26af3f,18-21,male,university,competent,competent,9,8,6,6,9
A5aba49,26-29,female,university,proficient,proficient,3,9,7,4,5
Ae99177,30-34,female,university,proficient,proficient,8,7,6,7,8
A7e45b0,26-29,female,university,beginner,competent,9,5,8,8,9
A724312,30-34,male,junior_college,beginner,competent,9,9,7,6,10
Adab238,26-29,male,junior_college,proficient,proficient,7,9,3,8,9
Aacdcad,26-29,male,junior_college,proficient,competent,6,7,6,8,9
Af43e60,30-34,female,senior_high_school,competent,competent,7,7,7,6,6
A62d74e,30-34,male,junior_high_school,competent,competent,5,7,4,8,8
Ac36640,26-29,female,university,proficient,proficient,7,9,5,10,9
A467b1f,30-34,female,junior_college,competent,beginner,4,9,5,6,9
A935ca7,30-34,male,junior_high_school,beginner,beginner,8,6,6,5,6
A7ca350,18-21,female,university,proficient,competent,8,9,3,8,7
A9f334e,26-29,male,junior_high_school,beginner,beginner,7,5,6,7,7
A7aeee6,26-29,female,junior_high_school,competent,competent,5,9,4,8,10
A03efa2,26-29,female,university,beginner,competent,7,6,6,6,8
A743a31,30-34,male,junior_college,beginner,beginner,6,7,7,7,7
A6b147f,26-29,female,university,proficient,proficient,8,10,2,10,8
Ad57c58,30-34,female,senior_high_school,expert,proficient,4,5,3,5,9
A6520e4,30-34,female,senior_high_school,expert,proficient,6,7,5,7,7
A2f019a,26-29,male,university,competent,competent,7,9,4,7,10
A295a34,30-34,female,junior_college,competent,competent,6,8,3,8,9
A4689c8,26-29,female,junior_high_school,competent,competent,6,5,5,7,5
A416426,26-29,female,junior_college,beginner,beginner,3,8,6,4,5
A13817f,26-29,male,university,proficient,proficient,6,8,2,6,10
A5da15f,26-29,female,university,proficient,proficient,9,10,2,10,10
A428d81,26-29,male,senior_high_school,proficient,proficient,5,8,3,8,9
A705e76,35-40,male,technical_secondary_school,competent,competent,6,9,3,7,8
Ad779f7,35-40,female,junior_college,proficient,proficient,6,8,5,7,7
A7d1054,30-34,female,senior_high_school,beginner,beginner,6,6,5,5,6
Ac9b1a2,26-29,female,junior_college,competent,competent,2,10,4,7,6
Ac9545a,35-40,female,junior_high_school,beginner,beginner,3,8,4,5,8
A1057f0,30-34,male,junior_college,competent,competent,4,6,5,7,5
A3ccfa4,26-29,female,senior_high_school,beginner,beginner,8,8,7,8,6
A93765e,30-34,female,junior_college,proficient,competent,6,8,5,7,7
A03ea28,30-34,male,senior_high_school,proficient,proficient,7,7,5,8,7
A116575,30-34,male,junior_college,beginner,competent,4,8,5,6,8
A92d2f4,30-34,female,junior_college,beginner,beginner,5,10,3,5,9
Aa2f492,30-34,female,junior_college,competent,competent,5,7,6,7,8
Abb591b,35-40,male,senior_high_school,expert,proficient,4,8,6,8,6
A1bd5b3,35-40,male,junior_college,competent,proficient,5,8,4,6,8
A403fa0,30-34,female,senior_high_school,beginner,beginner,6,10,2,6,10
A405edf,30-34,female,junior_college,beginner,beginner,6,9,3,9,8
A6fd62e,22-25,female,junior_high_school,beginner,beginner,4,8,5,6,6
A02e57e,30-34,male,junior_college,proficient,proficient,3,9,7,5,9
Ad0d080,22-25,male,senior_high_school,proficient,expert,8,9,5,7,9
A705e29,30-34,male,university,expert,proficient,6,8,6,6,8
A3ac0e1,22-25,female,university,expert,proficient,8,7,6,6,7
A133527,35-40,male,technical_secondary_school,competent,competent,6,6,6,6,6
A9f1e7c,22-25,female,junior_college,beginner,beginner,4,8,8,2,6
A8e381e,35-40,female,technical_secondary_school,proficient,expert,7,9,4,9,9
A2c6341,30-34,female,university,beginner,beginner,4,7,4,6,8
A09949c,30-34,female,senior_high_school,beginner,beginner,5,6,7,6,6
Ab24e61,30-34,female,university,proficient,proficient,7,10,3,8,9
A91fe2a,35-40,female,junior_high_school,beginner,beginner,6,8,6,8,6
A672bdb,35-40,male,senior_high_school,expert,expert,7,6,6,7,7
A64c0cc,35-40,female,university,competent,beginner,8,9,3,7,9
Af1955e,30-34,female,junior_college,beginner,beginner,8,7,5,7,8
A7bce25,35-40,female,junior_college,proficient,proficient,4,10,4,9,6
Afbb0d5,35-40,female,junior_college,competent,beginner,6,8,4,7,9
A23c84b,35-40,male,junior_college,competent,beginner,5,10,3,5,9
A54330d,30-34,male,junior_college,proficient,expert,4,6,2,6,10
Abdb7c8,26-29,female,university,competent,proficient,7,7,5,6,8
Af60a70,26-29,male,senior_high_school,proficient,proficient,6,9,6,7,7
Ac58b93,35-40,male,junior_college,proficient,proficient,7,7,5,8,7
A7e11e1,30-34,male,junior_college,beginner,competent,5,9,3,7,10
A549cc0,35-40,male,university,proficient,proficient,10,10,2,10,9
A5ba36a,26-29,female,technical_secondary_school,competent,proficient,4,8,4,7,8
A0211c7,26-29,female,university,competent,beginner,4,9,8,5,7
A979878,26-29,male,junior_college,beginner,competent,5,8,3,8,6
A53ce06,22-25,male,junior_college,proficient,proficient,3,8,7,5,8
A5945c0,26-29,female,university,proficient,proficient,6,10,5,9,7
A02a1ae,18-21,male,junior_college,proficient,beginner,10,8,4,9,9
A9c779d,30-34,male,junior_college,competent,proficient,5,8,4,5,9
A251b88,35-40,male,junior_college,proficient,proficient,6,7,2,7,10
A1e6570,22-25,female,university,proficient,competent,5,8,5,5,8
A8512cc,22-25,male,junior_college,beginner,beginner,4,8,4,8,8
Aecc8c6,35-40,female,senior_high_school,proficient,proficient,7,9,5,6,9
A045725,26-29,female,senior_high_school,beginner,beginner,5,8,7,7,7
A7665ef,22-25,female,junior_high_school,competent,competent,5,8,3,6,7
Ac83ee4,35-40,female,junior_high_school,competent,competent,5,8,4,6,8
Ab5ac09,35-40,female,technical_secondary_school,proficient,proficient,4,6,3,5,9
Afedb9e,26-29,male,junior_college,beginner,beginner,8,10,2,10,10
Af979e4,26-29,male,university,proficient,proficient,8,10,3,9,10
A61d317,26-29,male,junior_college,proficient,proficient,8,8,3,9,9
Af1759d,26-29,male,junior_college,proficient,proficient,4,7,7,6,6
Ae0f54d,22-25,male,technical_secondary_school,beginner,competent,5,7,6,7,6
A50152a,35-40,male,senior_high_school,beginner,beginner,7,4,5,7,9
A8cce69,30-34,female,senior_high_school,beginner,beginner,2,9,4,7,7
Ab92b51,22-25,male,junior_college,competent,competent,7,7,5,6,7
Ae958ab,35-40,female,junior_college,proficient,proficient,8,9,2,8,10
Abee6c5,30-34,male,junior_college,proficient,proficient,6,7,5,6,9
A11c186,30-34,female,junior_college,beginner,competent,6,8,2,7,9
A1ea71a,26-29,male,junior_college,beginner,beginner,5,7,6,3,6
A504318,26-29,male,university,proficient,proficient,8,9,3,9,10
A1316f5,22-25,female,junior_college,competent,proficient,5,9,5,6,9
A5a9699,35-40,female,university,competent,proficient,4,7,8,8,7
Ac1bd70,30-34,female,junior_college,competent,competent,6,7,5,7,7
Ab0acc3,30-34,male,junior_college,beginner,competent,3,9,6,7,8
Acc5fd6,30-34,male,senior_high_school,proficient,proficient,6,6,6,6,6
Acb11a5,18-21,male,junior_college,proficient,proficient,6,6,4,8,8
A262c8b,26-29,female,junior_college,proficient,expert,8,8,5,8,7
A96e2b4,26-29,female,senior_high_school,proficient,competent,6,8,5,8,7
Acb1dd9,26-29,female,junior_college,beginner,beginner,5,7,6,4,7
Ac30545,35-40,female,junior_college,beginner,beginner,6,7,6,8,8
A708a4e,35-40,male,junior_college,proficient,proficient,7,9,3,8,9
Ab14683,26-29,female,university,proficient,proficient,9,9,2,10,9
Ab54d66,22-25,female,university,expert,proficient,5,10,5,7,8
Aa1bb2f,30-34,female,senior_high_school,competent,competent,5,9,5,7,7
A9f3969,30-34,female,junior_high_school,proficient,proficient,6,8,7,7,9
A65fd15,26-29,female,university,competent,competent,7,7,5,7,8
Ac7d54a,30-34,female,senior_high_school,beginner,competent,7,8,3,9,8
Addf0ba,30-34,female,technical_secondary_school,beginner,beginner,7,8,5,8,7
Ac6078c,35-40,male,university,proficient,proficient,6,6,4,8,8
Ac347a6,35-40,male,junior_college,competent,proficient,6,7,6,7,7
A939ce4,26-29,female,junior_college,beginner,beginner,5,9,5,6,7
A2a2290,26-29,female,junior_college,competent,competent,5,6,5,7,7
A0a5866,22-25,male,junior_college,proficient,competent,10,9,4,7,8
A48d471,22-25,female,university,expert,proficient,8,8,5,9,9
Ae9ff3d,22-25,female,university,expert,proficient,5,7,5,7,8
A8541e5,18-21,female,university,expert,proficient,5,8,4,10,10
A612d05,18-21,male,senior_high_school,beginner,beginner,7,8,5,8,4
A5ce3ab,30-34,male,senior_high_school,competent,proficient,7,6,5,8,9
A05cfd1,26-29,male,junior_college,competent,competent,5,8,5,7,8
Ad17b4a,35-40,female,university,proficient,proficient,6,10,2,10,10
Ae9386a,26-29,female,junior_high_school,proficient,proficient,8,7,5,9,10
A815f16,35-40,female,junior_high_school,competent,competent,7,9,5,6,9
Aedf924,30-34,female,junior_college,proficient,proficient,4,8,6,7,9
A27429b,26-29,female,senior_high_school,competent,proficient,7,7,6,6,8
A02605b,35-40,female,junior_high_school,competent,competent,5,9,4,8,10
A523238,30-34,male,university,beginner,beginner,5,9,4,7,8
Add8a99,30-34,female,technical_secondary_school,competent,competent,4,8,5,8,7
Ad39ace,30-34,female,junior_college,competent,competent,8,7,3,4,9
A9224c0,35-40,male,junior_college,proficient,beginner,8,10,5,8,9
A73896e,30-34,female,senior_high_school,beginner,beginner,6,8,4,6,7
A29b83b,30-34,female,junior_college,beginner,beginner,7,6,5,6,6
A238c28,30-34,male,junior_college,beginner,beginner,6,7,2,10,6
Aafab4f,35-40,male,university,beginner,beginner,5,7,3,9,8
A4ad316,22-25,female,junior_college,proficient,proficient,6,8,4,8,8
